Date ,TP Outturn,Cycles,Net profit,,,2 cycles scenario,,,,,,,
16/03/2018,7.038752,1.999645455,154.3250146,,,,,,,,,,
17/03/2018,7.038752,1.999645455,199.0452277,,,,,,,,,,
18/03/2018,7.038752,1.999645455,173.9869314,,,,,,,,,,
19/03/2018,7.038752,1.999645455,224.5995098,,,,,,,,,,
20/03/2018,7.038752,1.999645455,161.2165971,,,,,,,,,,
21/03/2018,7.038752,1.999645455,147.0318685,,,,,,,,,,
22/03/2018,7.038752,1.999645455,198.712886,,,,,,,,,,
23/03/2018,7.038752,1.999645455,180.87234,,,,,,,,,,
24/03/2018,6.538752,1.8576,123.7440027,,,,,,,,,,
25/03/2018,7.038752,1.999645455,175.414499,,,,,,,,,,
26/03/2018,7.038752,1.999645455,184.0203726,,,,,,,,,,
27/03/2018,7.038752,1.999645455,146.7376753,,,,,,,,,,
28/03/2018,7.038752,1.999645455,178.6465867,,,,,,,,,,
29/03/2018,7.038752,1.999645455,133.3245006,,,,,,,,,,
30/03/2018,7.038752,1.999645455,169.9066218,,,,,,,,,,
31/03/2018,7.038752,1.999645455,127.3534904,,,,,,,,,,
01/04/2018,6.569752,1.866406818,174.7568307,,,,,,,,,,
02/04/2018,7.038752,1.999645455,150.2886597,,,,,,,,,,
03/04/2018,7.038752,1.999645455,265.3702108,,,,,,,,,,
04/04/2018,7.038752,1.999645455,98.883082,,,,,,,,,,
05/04/2018,7.038752,1.999645455,199.4250433,,,,,,,,,,
06/04/2018,7.038752,1.999645455,176.0404786,,,,,,,,,,
07/04/2018,7.038752,1.999645455,234.820057,,,,,,,,,,
08/04/2018,7.038752,1.999645455,103.969909,,,,,,,,,,
09/04/2018,7.038752,1.999645455,202.0430801,,,,,,,,,,
10/04/2018,6.538752,1.8576,152.2901095,,,,,,,,,,
11/04/2018,7.038752,1.999645455,248.3557308,,,,,,,,,,
12/04/2018,7.038752,1.999645455,331.0885346,,,,,,,,,,
13/04/2018,7.038752,1.999645455,140.3124238,,,,,,,,,,
14/04/2018,7.038752,1.999645455,106.0710546,,,,,,,,,,
15/04/2018,7.038752,1.999645455,197.5373428,,,,,,,,,,
16/04/2018,7.038752,1.999645455,183.0852816,,,,,,,,,,
17/04/2018,7.038752,1.999645455,134.4227356,,,,,,,,,,
18/04/2018,7.038752,1.999645455,243.7902476,,,,,,,,,,
19/04/2018,7.038752,1.999645455,226.3783788,,,,,,,,,,
20/04/2018,5.876,1.669318182,129.3926374,,,,,,,,,,
21/04/2018,7.038752,1.999645455,139.2021031,,,,,,,,,,
22/04/2018,7.038752,1.999645455,185.8597924,,,,,,,,,,
23/04/2018,7.038752,1.999645455,179.6558661,,,,,,,,,,
24/04/2018,7.038752,1.999645455,169.0738213,,,,,,,,,,
25/04/2018,7.038752,1.999645455,146.2511909,,,,,,,,,,
