datetime,DA_price,power_DA,market_dispatch_DA,opening_capacity_DA,throughput_DA,throughput_daily,profit_DA,profit_daily,SoH_DA,datetime,spot_price,power,market_dispatch,opening_capacity,throughput,throughput_daily,profit,profit_daily,SoH,net_profit
01/01/2021 00:00,65.73,0,0,0,0,0,0,0,2,01/01/2021 00:00,68.54,0,0,0,0,0,0,0,2,0
01/01/2021 00:30,65.73,0,0,0,0,0,0,0,2,01/01/2021 00:30,69.82,0,0,0,0,0,0,0,2,0
01/01/2021 01:00,64.96,0,0,0,0,0,0,0,2,01/01/2021 01:00,67.42,0,0,0,0,0,0,0,2,0
01/01/2021 01:30,64.96,0,0,0,0,0,0,0,2,01/01/2021 01:30,65.45,0,0,0,0,0,0,0,2,0
01/01/2021 02:00,60.47,0,0,0,0,0,0,0,2,01/01/2021 02:00,59.44,0,0,0,0,0,0,0,2,0
01/01/2021 02:30,60.47,0,0,0,0,0,0,0,2,01/01/2021 02:30,57.07,0,0,0,0,0,0,0,2,0
01/01/2021 03:00,52.5,0,0,0,0,0,0,0,2,01/01/2021 03:00,50.1,-1,-0.5,0,0,0.469,-25.05,-25.05,2,-25.05
01/01/2021 03:30,52.5,0,0,0,0,0,0,0,2,01/01/2021 03:30,50.98,0,0,0.469,0.469,0.469,0,-25.05,1.99996717,0
01/01/2021 04:00,48.98,0,0,0,0,0,0,0,2,01/01/2021 04:00,57.77,0,0,0.469,0,0.469,0,-25.05,1.99996717,0
01/01/2021 04:30,48.98,0,0,0,0,0,0,0,2,01/01/2021 04:30,53.64,0,0,0.469,0,0.469,0,-25.05,1.99996717,0
01/01/2021 05:00,48.95,-1,-0.5,0,0,0.469,-24.475,-24.475,2,01/01/2021 05:00,53.42,0,0,0.469,0,0.469,0,-25.05,1.99996717,2.235
01/01/2021 05:30,48.95,-1,-0.5,0.469,0.469,0.938,-24.475,-48.95,1.99996717,01/01/2021 05:30,55.26,0,0,0.469,0,0.469,0,-25.05,1.99996717,3.155
01/01/2021 06:00,48.96,-1,-0.5,0.938,0.469,1.407,-24.48,-73.43,1.99993434,01/01/2021 06:00,57.78,0.938,0.439922,0.469,0,0.938,25.41869316,0.36869316,1.99996717,29.82869316
01/01/2021 06:30,48.96,-0.750134116,-0.375067058,1.407,0.469,1.7588129,-18.36328316,-91.79328316,1.99990151,01/01/2021 06:30,55.16,0,0,0,0.469,0.938,0,0.36869316,1.99993434,2.325415759
01/01/2021 07:00,52.02,0,0,1.7588129,0.3518129,1.7588129,0,-91.79328316,1.999876883,01/01/2021 07:00,37.71,-1,-0.5,0,0,1.407,-18.855,-18.48630684,1.99993434,-18.855
01/01/2021 07:30,52.02,0,0,1.7588129,0,1.7588129,0,-91.79328316,1.999876883,01/01/2021 07:30,36.79,-1,-0.5,0.469,0.469,1.876,-18.395,-36.88130684,1.99990151,-18.395
01/01/2021 08:00,51.05,0,0,1.7588129,0,1.7588129,0,-91.79328316,1.999876883,01/01/2021 08:00,42.52,-1,-0.5,0.938,0.469,2.345,-21.26,-58.14130684,1.99986868,-21.26
